iter	Passed	Remaining
455	871	1039
456	872	1036
457	873	1034
458	875	1031
459	876	1028
460	877	1026
461	879	1023
462	880	1021
463	881	1018
464	882	1015
465	884	1013
466	885	1010
467	886	1007
468	887	1004
469	888	1001
470	889	999
471	890	996
472	892	993
473	893	991
474	894	988
475	895	985
476	896	982
477	897	980
478	898	977
479	900	975
480	901	972
481	902	969
482	903	967
483	904	964
484	907	963
485	908	961
486	911	959
487	912	957
488	914	955
489	915	952
490	916	950
491	917	947
492	918	945
493	920	942
494	921	940
495	923	938
496	924	935
497	925	933
498	926	930
499	928	928
500	929	925
501	930	923
502	932	921
503	933	918
504	934	916
505	936	913
506	937	911
507	938	909
508	939	906
509	941	904
510	942	901
511	943	899
512	944	896
513	945	893
514	946	891
515	947	889
516	949	886
517	950	884
518	951	882
519	953	879
520	954	877
521	955	875
522	956	872
523	958	870
524	959	868
525	961	866
526	962	864
527	965	862
528	967	861
529	968	859
530	970	856
531	971	854
532	972	852
533	974	850
534	976	848
535	977	846
536	979	844
537	980	841
538	981	839
539	983	837
540	984	835
541	986	833
542	987	830
543	988	828
544	989	826
545	991	824
546	992	821
547	993	819
548	995	817
549	997	816
550	1002	816
551	1007	818
552	1012	818
553	1014	816
554	1017	815
555	1018	813
556	1020	811
557	1021	809
558	1028	811
559	1030	809
560	1032	808
561	1034	805
562	1035	803
563	1042	805
564	1045	804
565	1047	802
566	1048	800
567	1056	803
568	1058	801
569	1060	799
570	1064	799
571	1066	797
572	1070	797
573	1072	795
574	1076	795
575	1078	793
576	1080	791
577	1083	790
578	1085	789
579	1088	788
580	1090	786
581	1092	784
582	1094	782
583	1095	780
584	1103	782
585	1105	780
586	1108	780
587	1110	777
588	1115	778
589	1118	777
590	1120	775
591	1121	773
592	1123	770
593	1124	768
594	1126	766
595	1131	767
596	1133	765
597	1134	762
598	1136	760
599	1137	758
600	1138	756
601	1140	753
602	1141	751
603	1144	750
604	1147	748
605	1148	746
606	1149	744
607	1151	742
608	1153	740
609	1154	738
610	1157	736
611	1162	736
612	1164	735
613	1166	733
614	1169	732
615	1170	729
616	1178	731
617	1180	729
618	1181	727
619	1183	725
620	1185	723
621	1186	721
622	1192	721
623	1195	720
624	1197	718
625	1199	716
626	1200	714
627	1202	712
628	1209	713
629	1211	711
630	1213	709
631	1214	707
632	1216	705
633	1217	703
634	1221	701
635	1223	700
636	1225	698
637	1226	696
638	1228	693
639	1229	691
640	1230	689
641	1232	687
642	1235	685
643	1236	683
644	1239	682
645	1240	680
646	1242	677
647	1244	675
648	1245	673
649	1246	671
650	1253	671
651	1254	669
652	1256	667
653	1258	666
654	1260	663
655	1261	661
656	1266	661
657	1268	659
658	1270	657
659	1271	655
660	1273	653
661	1275	651
662	1277	649
663	1280	647
664	1282	646
665	1284	644
666	1285	642
667	1287	640
668	1289	638
669	1291	635
670	1294	634
671	1298	633
672	1301	632
673	1303	630
674	1305	628
675	1312	628
676	1316	627
677	1317	625
678	1320	624
679	1322	622
680	1328	622
